Id,Domain,QuestionText,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,ReferenceUrl
Q-BC-04,ビジネス継続性,RPOが示す指標はどれか,復旧時間,許容データ損失量,可用性,SLA,B,RPOはどこまでデータ損失を許容するか,https://learn.microsoft.com/azure/architecture/reliability/disaster-recovery
Q-BC-05,ビジネス継続性,Active-Active構成の利点はどれか,構成が簡単,片系のみ稼働,高可用性と負荷分散,バックアップ高速化,C,両系が同時に稼働し冗長性を確保,https://learn.microsoft.com/azure/architecture/patterns/active-active
Q-BC-06,ビジネス継続性,フェールオーバーテストを実施する目的はどれか,コスト算出,実際の災害時の動作確認,性能測定,監査対応,B,DR計画が正しく機能するか検証,https://learn.microsoft.com/azure/site-recovery/site-recovery-testing
Q-BC-07,ビジネス継続性,Azure Storageの冗長オプションでリージョン冗長を提供するものはどれか,LRS,ZRS,GRS,Premium Storage,C,GRSは別リージョンにデータを複製,https://learn.microsoft.com/azure/storage/common/storage-redundancy

Q-SEC-01,セキュリティ設計,ゼロトラストモデルの考え方として正しいものはどれか,内部は信頼する,常に検証する,IP制限のみで十分,VPNが不要,B,常にユーザーとデバイスを検証する,https://learn.microsoft.com/security/zero-trust/
Q-SEC-02,セキュリティ設計,Azure Key Vaultを使う目的はどれか,ログ収集,シークレットと証明書の管理,VMスケール,監視,B,機密情報を安全に保管する,https://learn.microsoft.com/azure/key-vault/general/overview
Q-SEC-03,セキュリティ設計,Managed Identityの利点はどれか,パスワード不要でAzureリソースにアクセス,手動キー管理,外部IdP必須,ネットワーク制御,A,資格情報をコードに含めずに済む,https://learn.microsoft.com/azure/active-directory/managed-identities-azure-resources/overview
Q-SEC-04,セキュリティ設計,Azure Defender（Microsoft Defender for Cloud）の主な役割はどれか,課金最適化,セキュリティ脅威の検出と推奨,負荷分散,バックアップ管理,B,セキュリティ体制を可視化し改善,https://learn.microsoft.com/azure/defender-for-cloud/defender-for-cloud-introduction
Q-SEC-05,セキュリティ設計,NSGで制御できるものはどれか,アプリケーションコード,ネットワークトラフィック,ID認証,コスト,B,インバウンド/アウトバウンド通信制御,https://learn.microsoft.com/azure/virtual-network/network-security-groups-overview
Q-SEC-06,セキュリティ設計,WAFが防御する主な脅威はどれか,物理攻撃,SQLインジェクション,XSS,マルウェア,B,Webアプリケーション攻撃を防御,https://learn.microsoft.com/azure/web-application-firewall/overview
Q-SEC-07,セキュリティ設計,暗号化の設計で重要な観点はどれか,キー管理,VMサイズ,リージョン選択,バックアップ速度,A,キーの保管とアクセス制御が重要,https://learn.microsoft.com/azure/security/fundamentals/encryption-overview
